epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,360,1.81448,1.19857,1.35424,0.73461,0.657,0.71037,0.33847,1.78806,1.39375,1.43385,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,371.828,1.81479,1.22002,1.36675,0.66545,0.67633,0.69347,0.3362,1.80115,1.31393,1.4362,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,383.66,1.79949,1.19524,1.37155,0.69789,0.68075,0.71692,0.34881,1.78102,1.33978,1.4229,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,395.431,1.77262,1.18722,1.3627,0.68353,0.66667,0.7158,0.35086,1.77225,1.30035,1.4192,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,407.238,1.79169,1.1615,1.34475,0.70733,0.68116,0.71731,0.34144,1.81096,1.30538,1.4503,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,419.22,1.82594,1.16402,1.34764,0.69536,0.66162,0.71126,0.34947,1.77773,1.2933,1.41374,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,431.192,1.76063,1.16826,1.34301,0.70176,0.68599,0.71774,0.36042,1.77708,1.27594,1.40937,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,443.12,1.77294,1.13019,1.31683,0.71414,0.68116,0.733,0.3698,1.74933,1.28134,1.39471,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,454.986,1.76394,1.16582,1.35896,0.69629,0.70048,0.73631,0.36778,1.75806,1.28946,1.40082,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,467.058,1.72354,1.13351,1.3347,0.7043,0.68599,0.73353,0.36553,1.75024,1.24668,1.3936,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,478.92,1.74531,1.11653,1.3118,0.67273,0.71498,0.7395,0.37328,1.76036,1.23065,1.39847,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,490.82,1.76146,1.16089,1.35952,0.68575,0.71498,0.73384,0.3674,1.76149,1.22177,1.40493,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
