epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,155.281,1.23216,1.52608,1.27523,0.76798,0.47288,0.5949,0.35738,1.20718,2.02093,1.28536,0.00380689,0.00126896,0.00380689,0.00126896,0.00380689,0.00126896,0.00380689,0.00126896
31,160.436,1.16594,1.44336,1.23636,0.72771,0.54286,0.60104,0.35655,1.21476,1.88157,1.28804,0.00388056,0.00129352,0.00388056,0.00129352,0.00388056,0.00129352,0.00388056,0.00129352
32,165.477,1.21603,1.37542,1.26712,0.69702,0.60571,0.62854,0.37119,1.23892,1.71919,1.30443,0.00395067,0.00131689,0.00395067,0.00131689,0.00395067,0.00131689,0.00395067,0.00131689
33,170.382,1.18292,1.36229,1.26491,0.69702,0.60571,0.62854,0.37119,1.23892,1.71919,1.30443,0.00401722,0.00133907,0.00401722,0.00133907,0.00401722,0.00133907,0.00401722,0.00133907
34,175.529,1.19355,1.32629,1.2677,0.69492,0.64571,0.65036,0.3815,1.25474,1.57544,1.31318,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,180.693,1.15753,1.3085,1.22898,0.72735,0.65551,0.67228,0.40413,1.26532,1.4454,1.31974,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,185.87,1.22585,1.30313,1.26051,0.77143,0.61714,0.69202,0.41908,1.25903,1.36182,1.32803,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,191.08,1.12149,1.19091,1.22333,0.77143,0.61714,0.69202,0.41908,1.25903,1.36182,1.32803,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,196.039,1.13826,1.21091,1.22437,0.75791,0.66857,0.71423,0.44037,1.25586,1.28452,1.31964,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,201.145,1.17089,1.1693,1.23181,0.76032,0.65143,0.73298,0.46113,1.24964,1.22741,1.31273,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
