epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,469.353,1.93524,1.26125,1.47124,0.25614,0.40601,0.24788,0.09651,2.23129,2.38894,1.77779,0.0011486,0.0011486,0.0011486
45,479.873,1.88754,1.22275,1.41818,0.25614,0.40601,0.24788,0.09651,2.23129,2.38894,1.77779,0.0011288,0.0011288,0.0011288
46,490.476,1.87517,1.26008,1.43007,0.6823,0.66667,0.72043,0.28954,2.21735,1.58476,1.49611,0.001109,0.001109,0.001109
47,501.049,1.89085,1.21261,1.39455,0.78069,0.83333,0.75167,0.28736,2.07973,1.5296,1.45353,0.0010892,0.0010892,0.0010892
48,511.624,1.85949,1.20449,1.35838,0.67042,0.83333,0.63198,0.21257,2.10115,1.81714,1.51227,0.0010694,0.0010694,0.0010694
49,522.197,1.84721,1.22097,1.3597,0.67042,0.83333,0.63198,0.21257,2.10115,1.81714,1.51227,0.0010496,0.0010496,0.0010496
50,532.672,1.74067,1.17115,1.35469,0.55247,0.66667,0.56424,0.1773,2.36279,2.01428,1.76841,0.0010298,0.0010298,0.0010298
51,543.201,1.68423,1.13932,1.33584,0.61978,0.66667,0.5072,0.17547,2.25753,1.83255,1.71601,0.00101,0.00101,0.00101
52,553.778,1.77359,1.18005,1.38485,0.79745,0.83333,0.83167,0.32579,1.98956,1.50499,1.48344,0.0009902,0.0009902,0.0009902
53,564.292,1.75148,1.11906,1.3282,0.79745,0.83333,0.83167,0.32579,1.98956,1.50499,1.48344,0.0009704,0.0009704,0.0009704
54,575.043,1.80046,1.14767,1.33629,1,0.81037,0.85543,0.38931,1.87242,1.28446,1.4101,0.0009506,0.0009506,0.0009506
55,585.6,1.85514,1.26309,1.43055,0.80797,0.83333,0.86667,0.33296,1.97228,1.3423,1.49604,0.0009308,0.0009308,0.0009308
56,596.069,1.75709,1.16796,1.34142,0.70792,0.83333,0.77386,0.25411,2.25645,1.67809,1.78805,0.000911,0.000911,0.000911
57,606.528,1.81734,1.15198,1.36776,0.70792,0.83333,0.77386,0.25411,2.25645,1.67809,1.78805,0.0008912,0.0008912,0.0008912
58,617.039,1.82056,1.15619,1.35863,0.37841,0.5,0.34926,0.08964,2.57399,2.00888,2.18873,0.0008714,0.0008714,0.0008714
59,627.553,1.76215,1.13747,1.3214,0.411,0.58641,0.34325,0.10092,2.64989,1.96835,2.27095,0.0008516,0.0008516,0.0008516
60,638.22,1.81666,1.18307,1.36768,0.7604,0.66667,0.65311,0.20324,2.33,1.72815,1.9297,0.0008318,0.0008318,0.0008318
61,648.788,1.67872,1.15569,1.28946,0.7604,0.66667,0.65311,0.20324,2.33,1.72815,1.9297,0.000812,0.000812,0.000812
62,659.266,1.7149,1.14865,1.30061,0.68477,0.83333,0.7099,0.27582,2.25895,1.67639,1.7918,0.0007922,0.0007922,0.0007922
63,669.911,1.73752,1.1498,1.30669,0.67397,0.83333,0.74943,0.28029,2.2499,1.6349,1.83694,0.0007724,0.0007724,0.0007724
64,680.552,1.72284,1.12288,1.29922,0.85092,0.95641,0.90071,0.34937,2.21499,1.52838,1.80887,0.0007526,0.0007526,0.0007526
65,691.162,1.71861,1.12298,1.30954,0.85092,0.95641,0.90071,0.34937,2.21499,1.52838,1.80887,0.0007328,0.0007328,0.0007328
66,701.801,1.66246,1.10025,1.2906,0.76308,0.83333,0.84767,0.3658,2.24252,1.47078,1.77696,0.000713,0.000713,0.000713
67,712.469,1.73861,1.09173,1.30275,0.76613,0.66667,0.80043,0.33901,2.23805,1.41543,1.73297,0.0006932,0.0006932,0.0006932
68,723.078,1.70881,1.11124,1.33514,0.78688,0.66667,0.819,0.33444,2.33193,1.41608,1.74481,0.0006734,0.0006734,0.0006734
69,733.872,1.62221,1.02373,1.2601,0.78688,0.66667,0.819,0.33444,2.33193,1.41608,1.74481,0.0006536,0.0006536,0.0006536
70,744.403,1.64141,1.07006,1.27712,0.79739,0.65798,0.80125,0.34556,2.21574,1.4131,1.63029,0.0006338,0.0006338,0.0006338
71,755.118,1.64883,1.07064,1.2927,0.61603,1,0.819,0.36214,2.1001,1.43932,1.52728,0.000614,0.000614,0.000614
72,765.529,1.64197,1.11829,1.3448,1,0.95094,0.995,0.38336,2.16879,1.36715,1.56521,0.0005942,0.0005942,0.0005942
73,775.993,1.65752,1.07282,1.29948,1,0.95094,0.995,0.38336,2.16879,1.36715,1.56521,0.0005744,0.0005744,0.0005744
74,786.527,1.68635,1.06896,1.2797,0.98525,0.83333,0.955,0.35932,2.21516,1.37195,1.59002,0.0005546,0.0005546,0.0005546
75,797.103,1.65873,1.0456,1.27563,0.99478,0.83333,0.84731,0.31147,2.15104,1.47792,1.52492,0.0005348,0.0005348,0.0005348
76,807.79,1.66134,1.08744,1.28344,1,0.81433,0.84912,0.33659,2.09867,1.4988,1.51631,0.000515,0.000515,0.000515
77,818.304,1.62903,1.07537,1.27576,1,0.81433,0.84912,0.33659,2.09867,1.4988,1.51631,0.0004952,0.0004952,0.0004952
78,828.91,1.6709,1.04587,1.24735,0.79448,0.64827,0.697,0.23669,2.269,1.50454,1.60547,0.0004754,0.0004754,0.0004754
79,839.524,1.60692,1.04649,1.2393,0.70929,0.66667,0.72727,0.27657,2.23641,1.49411,1.61028,0.0004556,0.0004556,0.0004556
80,850.144,1.5982,1.03425,1.24663,0.77814,0.83333,0.81933,0.3314,2.22178,1.33973,1.61505,0.0004358,0.0004358,0.0004358
81,860.797,1.64073,1.04422,1.23036,0.77814,0.83333,0.81933,0.3314,2.22178,1.33973,1.61505,0.000416,0.000416,0.000416
82,871.417,1.62239,1.02629,1.22287,0.84253,0.89773,0.90071,0.39057,2.17643,1.33323,1.59557,0.0003962,0.0003962,0.0003962
83,882.168,1.63701,1.07006,1.26443,1,0.82436,0.97214,0.35485,2.26168,1.30888,1.61963,0.0003764,0.0003764,0.0003764
84,892.843,1.58716,1.0163,1.22729,0.97933,0.83333,0.955,0.32657,2.39814,1.36606,1.72596,0.0003566,0.0003566,0.0003566
85,903.489,1.60279,1.03324,1.25022,0.97933,0.83333,0.955,0.32657,2.39814,1.36606,1.72596,0.0003368,0.0003368,0.0003368
86,914.069,1.60566,1.05393,1.26525,0.83059,0.81963,0.85833,0.29247,2.55287,1.3318,1.84642,0.000317,0.000317,0.000317
