epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4902,2.91827,3.60991,2.30225,0,0,0,0,2.42906,4.11452,1.8967,4e-05,4e-05,4e-05
2,23.0266,2.49148,3.51004,1.9797,0,0,0,0,2.1515,3.98546,1.75567,9.901e-05,9.901e-05,9.901e-05
3,33.5653,2.16931,3.22437,1.59836,0.01667,0.83333,0.02729,0.00801,1.97306,3.76985,1.48821,0.000156832,0.000156832,0.000156832
4,44.0452,2.31315,2.96999,1.55249,0.01667,0.83333,0.03422,0.01031,1.96042,3.60389,1.38025,0.000213466,0.000213466,0.000213466
