epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,160.515,1.03414,1.30104,1.17429,0.77483,0.59603,0.65497,0.42618,1.0579,1.79538,1.18191,0.00380689,0.00126896,0.00380689,0.00126896,0.00380689,0.00126896,0.00380689,0.00126896
31,165.571,1.00242,1.25313,1.14325,0.78075,0.62914,0.67886,0.43692,1.0771,1.66232,1.20405,0.00388056,0.00129352,0.00388056,0.00129352,0.00388056,0.00129352,0.00388056,0.00129352
32,170.876,0.96434,1.24058,1.12876,0.85457,0.62262,0.69872,0.45625,1.09284,1.51611,1.21203,0.00395067,0.00131689,0.00395067,0.00131689,0.00395067,0.00131689,0.00395067,0.00131689
33,175.941,0.98629,1.16318,1.1478,0.85457,0.62262,0.69872,0.45625,1.09284,1.51611,1.21203,0.00401722,0.00133907,0.00401722,0.00133907,0.00401722,0.00133907,0.00401722,0.00133907
34,181.353,0.97723,1.09686,1.12534,0.80626,0.64901,0.71795,0.48976,1.04558,1.37932,1.19695,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,186.702,0.92085,1.05255,1.11347,0.83176,0.64238,0.73314,0.49165,1.04174,1.28281,1.19452,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,191.805,0.92377,1.1382,1.11938,0.82963,0.64497,0.74299,0.50741,1.00642,1.21325,1.18262,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,197.028,0.96707,1.12827,1.1432,0.82963,0.64497,0.74299,0.50741,1.00642,1.21325,1.18262,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,202.295,0.94413,1.05256,1.12231,0.83891,0.66887,0.74969,0.52363,0.99887,1.17053,1.18047,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,207.659,0.87797,1.0276,1.11085,0.85063,0.67888,0.7567,0.53158,0.97615,1.14813,1.16356,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,212.959,0.92832,1.00736,1.11201,0.81675,0.6755,0.75784,0.53393,0.97996,1.15773,1.16453,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,218.03,0.95891,0.99436,1.12496,0.81675,0.6755,0.75784,0.53393,0.97996,1.15773,1.16453,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,223.392,0.93243,0.99917,1.11686,0.81266,0.71822,0.76261,0.54314,0.96598,1.13092,1.15191,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
